PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36384132","The cancer chemotherapeutic 5-fluorouracil is a potent Fusobacterium nucleatum inhibitor and its activity is modified by intratumoral microbiota","LaCourse KD, Zepeda-Rivera M, Kempchinsky AG, Baryiames A, Minot SS, Johnston CD, Bullman S.","Cell Rep. 2022 Nov 15;41(7):111625. doi: 10.1016/j.celrep.2022.111625.","LaCourse KD","Cell Rep","2022","2022/11/17","","","10.1016/j.celrep.2022.111625"
"35234492","Complete Genome Sequence of Clostridium cadaveris IFB3C5, Isolated from a Human Colonic Adenocarcinoma","McGlinchey AS, Zepeda-Rivera MA, Stepanovica M, Baryiames AA, Jones DS, LaCourse KD, Bullman S, Johnston CD.","Microbiol Resour Announc. 2022 Mar 17;11(3):e0113521. doi: 10.1128/mra.01135-21. Epub 2022 Mar 2.","McGlinchey AS","Microbiol Resour Announc","2022","2022/03/02","PMC8928765","","10.1128/mra.01135-21"
"35254123","Complete Genome Sequence of Morganella morganii CTX51T, Isolated from a Human Cecal Adenocarcinoma","Stepanovica M, Zepeda-Rivera MA, McGlinchey AS, Baryiames AA, Jones DS, LaCourse KD, Bullman S, Johnston CD.","Microbiol Resour Announc. 2022 Apr 21;11(4):e0006622. doi: 10.1128/mra.00066-22. Epub 2022 Mar 7.","Stepanovica M","Microbiol Resour Announc","2022","2022/03/07","PMC9022561","","10.1128/mra.00066-22"
"24828531","Dimer recognition and secretion by the ESX secretion system in Bacillus subtilis","Sysoeva TA, Zepeda-Rivera MA, Huppert LA, Burton BM.","Proc Natl Acad Sci U S A. 2014 May 27;111(21):7653-8. doi: 10.1073/pnas.1322200111. Epub 2014 May 14.","Sysoeva TA","Proc Natl Acad Sci U S A","2014","2014/05/16","PMC4040557","","10.1073/pnas.1322200111"
"29555703","A Proposed Chaperone of the Bacterial Type VI Secretion System Functions To Constrain a Self-Identity Protein","Zepeda-Rivera MA, Saak CC, Gibbs KA.","J Bacteriol. 2018 Jun 25;200(14):e00688-17. doi: 10.1128/JB.00688-17. Print 2018 Jul 15.","Zepeda-Rivera MA","J Bacteriol","2018","2018/03/21","PMC6018363","","10.1128/JB.00688-17"
"28949977","A single point mutation in a TssB/VipA homolog disrupts sheath formation in the type VI secretion system of Proteus mirabilis","Saak CC, Zepeda-Rivera MA, Gibbs KA.","PLoS One. 2017 Sep 26;12(9):e0184797. doi: 10.1371/journal.pone.0184797. eCollection 2017.","Saak CC","PLoS One","2017","2017/09/27","PMC5614524","","10.1371/journal.pone.0184797"
"37398369","Fusobacterium sphaericum sp. nov. , isolated from a human colon tumor, is prevalent in various human body sites and induces IL-8 secretion from colorectal cancer cells","Zepeda-Rivera MA, Eisele Y, Baryiames A, Wu H, LaCourse KD, Jones DS, Hauner H, Dewhirst FE, Minot SS, Johnston CD, Bullman S.","bioRxiv. 2023 Jun 16:2023.06.16.545380. doi: 10.1101/2023.06.16.545380. Preprint.","Zepeda-Rivera MA","bioRxiv","2023","2023/07/03","PMC10312772","","10.1101/2023.06.16.545380"
"24379357","ParP prevents dissociation of CheA from chemotactic signaling arrays and tethers them to a polar anchor","Ringgaard S, Zepeda-Rivera M, Wu X, Schirner K, Davis BM, Waldor MK.","Proc Natl Acad Sci U S A. 2014 Jan 14;111(2):E255-64. doi: 10.1073/pnas.1315722111. Epub 2013 Dec 30.","Ringgaard S","Proc Natl Acad Sci U S A","2014","2014/01/01","PMC3896188","","10.1073/pnas.1315722111"
"22911626","Cdc42 GTPase and Rac1 GTPase act downstream of p120 catenin and require GTP exchange during gastrulation of zebrafish mesoderm","Hsu CL, Muerdter CP, Knickerbocker AD, Walsh RM, Zepeda-Rivera MA, Depner KH, Sangesland M, Cisneros TB, Kim JY, Sanchez-Vazquez P, Cherezova L, Regan RD, Bahrami NM, Gray EA, Chan AY, Chen T, Rao MY, Hille MB.","Dev Dyn. 2012 Oct;241(10):1545-61. doi: 10.1002/dvdy.23847. Epub 2012 Sep 4.","Hsu CL","Dev Dyn","2012","2012/08/23","","","10.1002/dvdy.23847"
